Suspicious Person,,,,,
Scholars Dr North,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922001,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 12:02 AM,,,,,
Summary: Non affiliate watching television in residential commuter lounge,,,,,
Disposition: Stay Away Order Issued,,,,,
Alcohol Contact,,,,,
Bates Hall,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922002,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 12:08 AM,,,,,
Summary:,,,,,
Disposition: Information Only,,,,,
Assist Other Agency,,,,,
Village East 2,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922003,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 12:15 AM,,,,,
Summary: Resident Advisor making alcohol contact,,,,,
Disposition: Information Only,,,,,
Drunk In Public,,,,,
Lot 401,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 2012‐1052,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 12:30 AM,,,,,
Summary:,,,,,
Disposition: Transported To Detox,,,,,
Alcohol Contact,,,,,
Sixth College Apartments,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922005,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 12:46 AM,,,,,
Summary:,,,,,
Disposition: Information Only,,,,,
Gas/Water/Sewer Leak,,,,,
Pacific Hall,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922015,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 2:35 AM,,,,,
Summary: Water detection,,,,,
Disposition Information Only,,,,,
Citizen Flagdown,,,,,
Voigt Dr/Justice Ln,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922017,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 4:54 AM,,,,,
Summary: Directions,,,,,
Disposition: Information Only,,,,,
Suspicious Vehicle,,,,,
UCTR 302,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922018,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 5:11 AM,,,,,
Summary:,,,,,
Disposition: Checks OK,,,,,
Suspicious Person,,,,,
Thurgood Marshal Activity Center,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 2012‐1053,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 5:27 AM,,,,,
Summary: Subject seen removing wheels from a bicycle secured to a bike rack,,,,,
"Disposition: Closed By Citation, Adult",,,,,
Vandalism,,,,,
Lot 740/Foodworx,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 2012‐1054,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 9:00 AM,,,,,
"Summary: Vandalism to vehicle, damage: $300.00",,,,,
Disposition: Report Taken,,,,,
Bicyclist Stop,,,,,
Voigt Dr/Lot 701,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922031,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 10:23 AM,,,,,
Summary:,,,,,
Disposition: Verbal Warning Issued,,,,,
Burglary Alarm,,,,,
Del Sol Leasing Office,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922035,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 10:51 AM,,,,,
Summary:,,,,,
Disposition: False Alarm,,,,,
Non Injury Accident,,,,,
Downwind at Birch,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922038,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 11:18 AM,,,,,
Summary: Vehicle stuck on the curb,,,,,
Disposition: Removed By Tow Truck,,,,,
Injury,,,,,
Library Walk,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922040,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 1:29 PM,,,,,
"Summary: young male tripped on walkway, possible broken leg",,,,,
Disposition: Transported To Hospital,,,,,
Traffic Hazard,,,,,
North Point Dr/Scholars Dr North,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922041,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 1:34 PM,,,,,
Summary: Three subjects standing in median passing out flyers,,,,,
Disposition: Information Only,,,,,
Incomplete Wireless 911 Call,,,,,
McGill Hall,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922042,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 2:00 PM,,,,,
Summary:,,,,,
Disposition: Checks OK,,,,,
Incomplete Wireless 911 Call,,,,,
Tenaya Hall,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922043,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 2:13 PM,,,,,
Summary:,,,,,
Disposition: Checks OK,,,,,
Traffic Hazard,,,,,
Scholars Dr South/Muir Ln,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922044,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 2:40 PM,,,,,
"Summary: One‐way traffic sign indicator removed, causing traffic jam",,,,,
Disposition: Checks Ok,,,,,
Skateboard Stop,,,,,
Mandeville Center,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922046,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 2:53 PM,,,,,
Summary: Group of trick skaters,,,,,
Disposition: Checks OK,,,,,
Information,,,,,
Lot 703,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922050,,,,,
Date Occurred 9/22/2012,,,,,
Time Occurred 6:14 PM,,,,,
Summary: Party bus just left lot,,,,,
Disposition: Information Only,,,,,
Unknown Injury Accident,,,,,
North Torrey Pines RD/Salk Institute Rd,,,,,
Date Reported 9/22/2012,,,,,
Incident/Case# 120922051,,,,,
Date Occurred 9/22/2012,,,,,
