name,artists,danceability,energy,loudness,speechiness,valence,tempo,streams
Shape of You,Ed Sheeran,0.825,0.652,-3.1830000000000003,0.0802,0.931,95.977,278551723
Despacito - Remix,Luis Fonsi,0.6940000000000001,0.815,-4.328,0.12,0.813,88.931,234828183
Despacito (Featuring Daddy Yankee),Luis Fonsi,0.66,0.7859999999999999,-4.757,0.17,0.846,177.833,93374429
Something Just Like This,The Chainsmokers,0.617,0.635,-6.769,0.0317,0.446,103.019,144082209
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,0.609,0.6679999999999999,-4.284,0.0367,0.8109999999999999,80.92399999999998,201581027
HUMBLE.,Kendrick Lamar,0.904,0.611,-6.8420000000000005,0.0888,0.4,150.02,330903683
It Ain't Me (with Selena Gomez),Kygo,0.64,0.5329999999999999,-6.596,0.0706,0.515,99.968,130513571
Unforgettable,French Montana,0.726,0.769,-5.043,0.123,0.733,97.985,207359671
That's What I Like,Bruno Mars,0.853,0.56,-4.961,0.0406,0.86,134.066,205309993
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,0.735,0.451,-8.374,0.0585,0.0862,117.973,146856371
XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,-6.3660000000000005,0.231,0.401,155.096,304014190
Paris,The Chainsmokers,0.653,0.6579999999999999,-6.428,0.0304,0.219,99.99,119890906
Stay (with Alessia Cara),Zedd,0.679,0.634,-5.024,0.0654,0.498,102.013,151382376
Attention,Charlie Puth,0.774,0.626,-4.432,0.0432,0.777,100.041,121212769
Mask Off,Future,0.833,0.434,-8.795,0.431,0.281,150.062,237877378
Congratulations,Post Malone,0.627,0.812,-4.215,0.0358,0.504,123.071,274130012
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,0.696,0.8170000000000001,-3.862,0.109,0.782,98.064,73614569
Castle on the Hill,Ed Sheeran,0.461,0.8340000000000001,-4.868,0.0989,0.471,135.007,86743170
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.72,0.763,-4.0680000000000005,0.0523,0.742,101.965,56940575
Believer,Imagine Dragons,0.779,0.787,-4.305,0.108,0.708,124.982,154228893
Mi Gente,J Balvin,0.5429999999999999,0.677,-4.915,0.0993,0.294,103.809,90777887
Thunder,Imagine Dragons,0.6,0.81,-4.749,0.0479,0.298,167.88,119392207
Say You Won't Let Go,James Arthur,0.358,0.557,-7.398,0.059,0.494,85.04299999999998,137853463
There's Nothing Holdin' Me Back,Shawn Mendes,0.857,0.8,-4.035,0.0583,0.966,121.996,98600368
Me Rehúso,Danny Ocean,0.7440000000000001,0.804,-6.327000000000001,0.0677,0.426,104.823,8605096
Issues,Julia Michaels,0.706,0.4270000000000001,-6.864,0.0879,0.42,113.804,145088002
Galway Girl,Ed Sheeran,0.624,0.8759999999999999,-3.374,0.1,0.7809999999999999,99.943,56924989
Scared to Be Lonely,Martin Garrix,0.584,0.54,-7.786,0.0576,0.195,137.972,59464572
Closer,The Chainsmokers,0.748,0.524,-5.599,0.0338,0.6609999999999999,95.01,135411814
Symphony (feat. Zara Larsson),Clean Bandit,0.7070000000000001,0.629,-4.581,0.0563,0.457,122.863,46136931
I Feel It Coming,The Weeknd,0.768,0.813,-5.94,0.128,0.579,92.994,107845732
Starboy,The Weeknd,0.6809999999999999,0.594,-7.028,0.282,0.535,186.054,142575372
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,0.6709999999999999,0.672,-3.094,0.0688,0.632,97.98,121519585
Slide (feat. Frank Ocean & Migos),Calvin Harris,0.736,0.795,-3.299,0.0545,0.511,104.066,143954823
New Rules,Dua Lipa,0.7709999999999999,0.696,-6.257999999999999,0.0755,0.6559999999999999,116.054,90381693
1-800-273-8255,Logic,0.629,0.5720000000000001,-7.733,0.0387,0.386,100.015,211563851
Passionfruit,Drake,0.809,0.463,-11.377,0.0396,0.364,111.98,165656199
rockstar,Post Malone,0.5770000000000001,0.522,-6.5939999999999985,0.0984,0.119,159.77200000000005,211825002
Strip That Down,Liam Payne,0.8690000000000001,0.485,-5.595,0.0545,0.527,106.028,107466513
2U (feat. Justin Bieber),David Guetta,0.5479999999999999,0.65,-5.827000000000001,0.0591,0.557,144.937,59637212
Perfect,Ed Sheeran,0.599,0.448,-6.312,0.0232,0.168,95.05,93945864
Call On Me - Ryan Riback Extended Remix,Starley,0.6759999999999999,0.843,-4.0680000000000005,0.0367,0.718,105.003,63050346
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,0.893,0.745,-3.105,0.0571,0.872,101.018,73567507
Mama,Jonas Blue,0.746,0.7929999999999999,-4.209,0.0412,0.557,104.027,33329518
Felices los 4,Maluma,0.755,0.789,-4.502,0.146,0.737,93.973,36467615
iSpy (feat. Lil Yachty),KYLE,0.746,0.653,-6.745,0.289,0.672,75.016,224786172
Location,Khalid,0.736,0.449,-11.462,0.425,0.326,80.126,218371285
Chantaje (feat. Maluma),Shakira,0.852,0.773,-2.9210000000000003,0.0776,0.907,102.034,27266767
Bad and Boujee (feat. Lil Uzi Vert),Migos,0.927,0.665,-5.313,0.244,0.175,127.076,209711870
Havana,Camila Cabello,0.768,0.517,-4.323,0.0312,0.418,104.992,108490314
Solo Dance,Martin Jensen,0.7440000000000001,0.836,-2.396,0.0507,0.36,114.965,32893890
Fake Love,Drake,0.927,0.488,-9.433,0.42,0.605,133.987,171451787
Let Me Love You,DJ Snake,0.476,0.718,-5.309,0.0576,0.142,199.864,41557512
More Than You Know,Axwell /\ Ingrosso,0.644,0.743,-5.002,0.0355,0.544,123.074,36870076
One Dance,Drake,0.7909999999999999,0.619,-5.886,0.0532,0.371,103.989,92845147
SUBEME LA RADIO,Enrique Iglesias,0.684,0.823,-3.297,0.0773,0.647,91.048,1168504
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.703,0.868,-4.6610000000000005,0.0291,0.733,121.03,40653866
Sorry Not Sorry,Demi Lovato,0.7040000000000001,0.633,-6.922999999999999,0.241,0.863,144.02100000000004,109526182
Redbone,Childish Gambino,0.743,0.359,-10.401,0.0794,0.5870000000000001,160.083,174238981
24K Magic,Bruno Mars,0.818,0.8029999999999999,-4.282,0.0797,0.632,106.97,75652528
DNA.,Kendrick Lamar,0.637,0.514,-6.763,0.365,0.402,139.931,183509437
El Amante,Nicky Jam,0.6829999999999999,0.691,-5.535,0.0432,0.732,179.91,0
You Don't Know Me - Radio Edit,Jax Jones,0.8759999999999999,0.669,-6.0539999999999985,0.138,0.682,124.007,9093627
Chained To The Rhythm,Katy Perry,0.448,0.8009999999999999,-5.363,0.165,0.462,189.798,40864868
No Promises (feat. Demi Lovato),Cheat Codes,0.741,0.667,-5.445,0.134,0.595,112.956,61756546
Don't Wanna Know,Maroon 5,0.775,0.617,-6.166,0.0701,0.485,100.048,39025220
"How Far I'll Go - From ""Moana""",Alessia Cara,0.314,0.555,-9.601,0.37,0.159,179.666,68060905
Slow Hands,Niall Horan,0.7340000000000001,0.418,-6.678,0.0425,0.868,85.90899999999998,93749124
Escápate Conmigo,Wisin,0.747,0.8640000000000001,-3.181,0.0599,0.754,92.028,23030122
Bounce Back,Big Sean,0.77,0.5670000000000001,-5.698,0.175,0.26,81.477,183238177
Sign of the Times,Harry Styles,0.516,0.595,-4.63,0.0313,0.222,119.972,56043457
