Artist,Song,Date,Current Rank,Last Weeks Position,Weeks on Chart,Peak Position
Sammy Turner,Always,1959-11-09,56,75,56,2
The Drifters,"(If You Cry) True Love, True Love",1959-11-09,57,77,57,2
Annette With The Afterbeats,First Name Initial,1959-11-09,58,63,58,3
Lloyd Price,I'm Gonna Get Married,1959-11-09,59,28,3,14
Pat Boone,Fools Hall Of Fame,1959-11-09,60,54,29,9
Sarah Vaughan,Broken-Hearted Melody,1959-11-09,61,45,7,17
Chet Atkins,Boo Boo Stick Beat,1959-11-09,62,62,49,7
Nina Simone,"I Loves You, Porgy",1959-11-09,63,39,18,15
Ruth Brown,I Don't Know,1959-11-09,64,64,64,5
Duane Eddy His Twangy Guitar And The Rebels,"First Love, First Tears",1959-11-09,65,60,59,7
Carl Mann,Pretend,1959-11-09,66,66,66,3
The Skyliners,It Happened Today,1959-11-09,67,59,59,7
The Revels,Midnight Stroll,1959-11-09,68,90,68,4
Homer And Jethro,The Battle Of Kookamonga,1959-11-09,69,43,14,10
Webb Pierce,I Ain't Never,1959-11-09,70,67,24,14
Johnny Preston,Running Bear,1959-11-09,71,76,71,5
Marv Johnson,You Got What It Takes,1959-11-09,72,94,72,2
Clyde McPhatter,You Went Back On Your Word,1959-11-09,73,81,73,2
Annette With The Afterbeats,My Heart Became Of Age,1959-11-09,74,74,74,3
The Browns,Scarlet Ribbons (For Her Hair),1959-11-09,75,89,75,2
Bobby Comstock,Tennessee Waltz,1959-11-09,76,57,57,3
Gary Stites,Starry Eyed,1959-11-09,77,85,77,2
Bobby Peterson Quintet,The Hunch,1959-11-09,78,83,78,3
Jack Scott,There Comes A Time,1959-11-09,79,82,71,5
Rocco Granata and the International Quintet,Marina,1959-11-09,80,0,0,0
Jerry Fuller,Tennessee Waltz,1959-11-09,81,73,73,4
LaVern Baker,Tiny Tim,1959-11-09,82,93,82,2
Paul Gayten,The Hunch,1959-11-09,83,88,83,3
The Passions,Just To Be With You,1959-11-09,84,87,84,5
Skip And Flip,Fancy Nancy,1959-11-09,85,96,85,2
The Nutty Squirrels,Uh! Oh! Part 2,1959-11-09,86,0,0,0
Jane Morgan,Happy Anniversary,1959-11-09,87,0,0,0
Marty Robbins,El Paso,1959-11-09,88,0,0,0
Sarah Vaughan,Smooth Operator,1959-11-09,89,99,89,2
The Four Lads,Happy Anniversary,1959-11-09,90,0,0,0
The Knightsbridge Strings,Wheel Of Fortune,1959-11-09,91,100,91,2
Poni-Tails,I'll Be Seeing You,1959-11-09,92,-,89,2
Rod Bernard,One More Chance,1959-11-09,93,0,0,0
Crash Craddock,Don't Destroy Me,1959-11-09,94,0,0,0
Tommy Edwards,Honestly And Truly,1959-11-09,95,98,95,2
Ray Charles and his Orchestra,I'm Movin' On,1959-11-09,96,0,0,0
Jan & Dean,There's A Girl,1959-11-09,97,97,97,3
Ralph DeMarco,Old Shep,1959-11-09,98,0,0,0
Sam Cooke,"There, I've Said It Again",1959-11-09,99,0,0,0
Lloyd Price and His Orchestra,Wont'cha Come Home,1959-11-09,100,0,0,0
The Fleetwoods,Mr. Blue,1959-11-16,1,2,1,11
Bobby Darin,Mack The Knife,1959-11-16,2,1,1,13
Della Reese,Don't You Know,1959-11-16,3,4,3,9
Paul Anka,Put Your Head On My Shoulder,1959-11-16,4,3,2,12
Guy Mitchell,Heartaches By The Number,1959-11-16,5,10,5,7
Andy Williams,Lonely Street,1959-11-16,6,5,5,11
Sandy Nelson,Teen Beat,1959-11-16,7,6,4,11
Wink Martindale,Deck Of Cards,1959-11-16,8,7,7,10
Brook Benton,So Many Ways,1959-11-16,9,12,9,5
Jerry Wallace With The Jewels,Primrose Lane,1959-11-16,10,8,8,14
Ernie Fields & Orch.,In The Mood,1959-11-16,11,13,11,9
Bobby Rydell,We Got Love,1959-11-16,12,21,12,6
Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat,1959-11-16,13,9,9,10
Conway Twitty,Danny Boy,1959-11-16,14,11,11,8
The Islanders,The Enchanted Sea,1959-11-16,15,18,15,8
The Drifters,Dance With Me,1959-11-16,16,23,16,6
Fats Domino,Be My Guest,1959-11-16,17,22,17,4
Dinah Washington,Unforgettable,1959-11-16,18,17,17,7
Neil Sedaka,Oh! Carol,1959-11-16,19,16,16,6
Johnny Mathis,Misty,1959-11-16,20,20,18,7
Rock-A-Teens,Woo-Hoo,1959-11-16,21,25,21,7
Fireflies,You Were Mine,1959-11-16,22,26,21,11
The Clovers,Love Potion No. 9,1959-11-16,23,33,23,10
Frankie Avalon,Just Ask Your Heart,1959-11-16,24,15,7,12
The Mormon Tabernacle Choir,Battle Hymn Of The Republic,1959-11-16,25,24,13,11
The Coasters,Poison Ivy,1959-11-16,26,14,7,13
The Everly Brothers,('til) I Kissed You,1959-11-16,27,19,4,14
Tommy Facenda,High School U.S.A.,1959-11-16,28,38,28,5
Johnny And The Hurricanes,Reveille Rock,1959-11-16,29,45,29,3
Bo Diddley,Say Man,1959-11-16,30,32,20,9
The Exotic Sounds of Martin Denny,The Enchanted Sea,1959-11-16,31,41,31,4
Cliff Richard and The Drifters,Living Doll,1959-11-16,32,31,31,8
Fats Domino,I've Been Around,1959-11-16,33,36,33,4
Kitty Kallen,If I Give My Heart To You,1959-11-16,34,39,34,7
Sammy Turner,Always,1959-11-16,35,56,35,3
Bob Beckham,Just As Much As Ever,1959-11-16,36,37,32,14
Royal Teens,Believe Me,1959-11-16,37,43,37,4
Marv Johnson,You Got What It Takes,1959-11-16,38,72,38,3
Fireballs,Torquay,1959-11-16,39,42,39,8
Frank Sinatra,Talk To Me,1959-11-16,40,48,40,5
The Spacemen,The Clouds,1959-11-16,41,49,41,5
The Drifters,"(If You Cry) True Love, True Love",1959-11-16,42,57,42,3
Lloyd Price and His Orchestra,Wont'cha Come Home,1959-11-16,43,100,43,2
The Crests,The Angels Listened In,1959-11-16,44,35,22,14
The Revels,Midnight Stroll,1959-11-16,45,68,45,5
Bobby Rydell,I Dig Girls,1959-11-16,46,-,46,4
Lloyd Price and His Orchestra,Come Into My Heart,1959-11-16,47,44,44,4
Gene & Eunice,Poco-Loco,1959-11-16,48,51,48,11
Bill Haley And His Comets,Joey's Song,1959-11-16,49,46,46,7
The Browns,Scarlet Ribbons (For Her Hair),1959-11-16,50,75,50,3
Rocco Granata and the International Quintet,Marina,1959-11-16,51,80,51,2
Bobby Comstock,Tennessee Waltz,1959-11-16,52,76,52,4
Dee Clark,Hey Little Girl,1959-11-16,53,27,20,13
The Kingston Trio,A Worried Man,1959-11-16,54,30,20,10
Miss Toni Fisher,The Big Hurt,1959-11-16,55,0,0,0
Johnny And The Hurricanes,Red River Rock,1959-11-16,56,28,5,16
Santo & Johnny,Sleep Walk,1959-11-16,57,29,1,17
Duane Eddy His Twangy Guitar And The Rebels,Some Kind-A Earthquake,1959-11-16,58,40,37,7
Ivo Robic and The Song-Masters,Morgen,1959-11-16,59,34,13,14
Duane Eddy His Twangy Guitar And The Rebels,"First Love, First Tears",1959-11-16,60,65,59,8
The Isley Brothers,Shout - Part 1,1959-11-16,61,55,47,9
Floyd Robinson,Makin' Love,1959-11-16,62,50,20,18
Jerry Fuller,Tennessee Waltz,1959-11-16,63,81,63,5
Carl Mann,Pretend,1959-11-16,64,66,64,4
LaVern Baker,Tiny Tim,1959-11-16,65,82,65,3
Sarah Vaughan,Smooth Operator,1959-11-16,66,89,66,3
Johnny Mathis,The Best Of Everything,1959-11-16,67,0,0,0
Ray Charles and his Orchestra,I'm Movin' On,1959-11-16,68,96,68,2
Annette With The Afterbeats,First Name Initial,1959-11-16,69,58,58,4
The Nutty Squirrels,Uh! Oh! Part 2,1959-11-16,70,86,70,2
Skip And Flip,Fancy Nancy,1959-11-16,71,85,71,3
Clyde McPhatter,You Went Back On Your Word,1959-11-16,72,73,72,3
Marty Robbins,El Paso,1959-11-16,73,88,73,2
Rod Bernard,One More Chance,1959-11-16,74,93,74,2
Ronnie Hawkins and The Hawks,Mary Lou,1959-11-16,75,53,26,14
Sarah Vaughan,Broken-Hearted Melody,1959-11-16,76,61,7,18
The Four Lads,Happy Anniversary,1959-11-16,77,90,77,2
Chet Atkins,Boo Boo Stick Beat,1959-11-16,78,62,49,8
Gary Stites,Starry Eyed,1959-11-16,79,77,77,3
The Browns,The Three Bells,1959-11-16,80,52,1,17
Fabian,Hound Dog Man,1959-11-16,81,0,0,0
Bobby Peterson Quintet,The Hunch,1959-11-16,82,78,78,4
Jane Morgan,Happy Anniversary,1959-11-16,83,87,83,2
Jimmie Rodgers,Tucumcari,1959-11-16,84,47,32,9
Paul Gayten,The Hunch,1959-11-16,85,83,83,4
The Skyliners,It Happened Today,1959-11-16,86,67,59,8
Poni-Tails,I'll Be Seeing You,1959-11-16,87,92,87,3
The Knightsbridge Strings,Wheel Of Fortune,1959-11-16,88,91,88,3
The Passions,Just To Be With You,1959-11-16,89,84,84,6
Sam Cooke,"There, I've Said It Again",1959-11-16,90,99,90,2
Ralph DeMarco,Old Shep,1959-11-16,91,98,91,2
Ray Peterson,Goodnight My Love (Pleasant Dreams),1959-11-16,92,0,0,0
Sonny Spencer,Gilee,1959-11-16,93,0,0,0
Tommy Edwards,Honestly And Truly,1959-11-16,94,95,94,3
Jacky Noguez And His Orchestra,Marina,1959-11-16,95,0,0,0
Connie Francis,God Bless America,1959-11-16,96,0,0,0
Tommy Edwards,(New In) The Ways Of Love,1959-11-16,97,0,0,0
Don Costa And His Orchestra And Chorus,I'll Walk The Line,1959-11-16,98,0,0,0
Ruth Brown,I Don't Know,1959-11-16,99,64,64,6
Clyde Stacy,So Young,1959-11-16,100,0,0,0
Bobby Darin,Mack The Knife,1959-11-23,1,2,1,14
The Fleetwoods,Mr. Blue,1959-11-23,2,1,1,12
Della Reese,Don't You Know,1959-11-23,3,3,3,10
Guy Mitchell,Heartaches By The Number,1959-11-23,4,5,4,8
Paul Anka,Put Your Head On My Shoulder,1959-11-23,5,4,2,13
Brook Benton,So Many Ways,1959-11-23,6,9,6,6
Wink Martindale,Deck Of Cards,1959-11-23,7,8,7,11
Ernie Fields & Orch.,In The Mood,1959-11-23,8,11,8,10
Jerry Wallace With The Jewels,Primrose Lane,1959-11-23,9,10,8,15
Bobby Rydell,We Got Love,1959-11-23,10,12,10,7
Andy Williams,Lonely Street,1959-11-23,11,6,5,12
Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat,1959-11-23,12,13,9,11
Sandy Nelson,Teen Beat,1959-11-23,13,7,4,12
Fats Domino,Be My Guest,1959-11-23,14,17,14,5
Johnny Mathis,Misty,1959-11-23,15,20,15,8
Rock-A-Teens,Woo-Hoo,1959-11-23,16,21,16,8
The Islanders,The Enchanted Sea,1959-11-23,17,15,15,9
Conway Twitty,Danny Boy,1959-11-23,18,14,11,9
Neil Sedaka,Oh! Carol,1959-11-23,19,19,16,7
The Drifters,Dance With Me,1959-11-23,20,16,16,7
Dinah Washington,Unforgettable,1959-11-23,21,18,17,8
Fireflies,You Were Mine,1959-11-23,22,22,21,12
The Mormon Tabernacle Choir,Battle Hymn Of The Republic,1959-11-23,23,25,13,12
Sammy Turner,Always,1959-11-23,24,35,24,4
Johnny And The Hurricanes,Reveille Rock,1959-11-23,25,29,25,4
Royal Teens,Believe Me,1959-11-23,26,37,26,5
The Clovers,Love Potion No. 9,1959-11-23,27,23,23,11
The Exotic Sounds of Martin Denny,The Enchanted Sea,1959-11-23,28,31,28,5
Tommy Facenda,High School U.S.A.,1959-11-23,29,28,28,6
Cliff Richard and The Drifters,Living Doll,1959-11-23,30,32,30,9
Frankie Avalon,Just Ask Your Heart,1959-11-23,31,24,7,13
Marv Johnson,You Got What It Takes,1959-11-23,32,38,32,4
The Browns,Scarlet Ribbons (For Her Hair),1959-11-23,33,50,33,4
The Drifters,"(If You Cry) True Love, True Love",1959-11-23,34,42,34,4
Lloyd Price and His Orchestra,Come Into My Heart,1959-11-23,35,47,35,5
Miss Toni Fisher,The Big Hurt,1959-11-23,36,55,36,2
Kitty Kallen,If I Give My Heart To You,1959-11-23,37,34,34,8
The Revels,Midnight Stroll,1959-11-23,38,45,38,6
Rocco Granata and the International Quintet,Marina,1959-11-23,39,51,39,3
Frank Sinatra,Talk To Me,1959-11-23,40,40,40,6
Bob Beckham,Just As Much As Ever,1959-11-23,41,36,32,15
Fabian,Hound Dog Man,1959-11-23,42,81,42,2
The Coasters,Poison Ivy,1959-11-23,43,26,7,14
Fats Domino,I've Been Around,1959-11-23,44,33,33,5
The Everly Brothers,('til) I Kissed You,1959-11-23,45,27,4,15
Bo Diddley,Say Man,1959-11-23,46,30,20,10
Fireballs,Torquay,1959-11-23,47,39,39,9
Bill Haley And His Comets,Joey's Song,1959-11-23,48,49,46,8
Gene & Eunice,Poco-Loco,1959-11-23,49,48,48,12
The Nutty Squirrels,Uh! Oh! Part 2,1959-11-23,50,70,50,3
Marty Robbins,El Paso,1959-11-23,51,73,51,3
Bobby Comstock,Tennessee Waltz,1959-11-23,52,52,52,5
The Spacemen,The Clouds,1959-11-23,53,41,41,6
Lloyd Price and His Orchestra,Wont'cha Come Home,1959-11-23,54,43,43,3
Ray Charles and his Orchestra,I'm Movin' On,1959-11-23,55,68,55,3
Bobby Rydell,I Dig Girls,1959-11-23,56,46,46,5
Carl Mann,Pretend,1959-11-23,57,64,57,5
Connie Francis,God Bless America,1959-11-23,58,96,58,2
Duane Eddy His Twangy Guitar And The Rebels,Some Kind-A Earthquake,1959-11-23,59,58,37,8
The Kingston Trio,A Worried Man,1959-11-23,60,54,20,11
Fabian,This Friendly World,1959-11-23,61,0,0,0
Sarah Vaughan,Smooth Operator,1959-11-23,62,66,62,4
Ivo Robic and The Song-Masters,Morgen,1959-11-23,63,59,13,15
Johnny And The Hurricanes,Red River Rock,1959-11-23,64,56,5,17
Tommy Edwards,Honestly And Truly,1959-11-23,65,94,65,4
Johnny Mathis,The Best Of Everything,1959-11-23,66,67,66,2
Dee Clark,Hey Little Girl,1959-11-23,67,53,20,14
Paul Gayten,The Hunch,1959-11-23,68,85,68,5
Ronnie Hawkins and The Hawks,Mary Lou,1959-11-23,69,75,26,15
Tommy Edwards,(New In) The Ways Of Love,1959-11-23,70,97,70,2
Bobby Peterson Quintet,The Hunch,1959-11-23,71,82,71,5
Freddie Cannon,Way Down Yonder In New Orleans,1959-11-23,72,0,0,0
LaVern Baker,Tiny Tim,1959-11-23,73,65,65,4
Paul Anka,It's Time To Cry,1959-11-23,74,0,0,0
Annette With The Afterbeats,First Name Initial,1959-11-23,75,69,58,5
Connie Francis,Among My Souvenirs,1959-11-23,76,0,0,0
The Crests,The Angels Listened In,1959-11-23,77,44,22,15
Ray Peterson,Goodnight My Love (Pleasant Dreams),1959-11-23,78,92,78,2
Rod Bernard,One More Chance,1959-11-23,79,74,74,3
Steve Lawrence,Pretty Blue Eyes,1959-11-23,80,0,0,0
Sam Cooke,"There, I've Said It Again",1959-11-23,81,90,81,3
The Four Lads,Happy Anniversary,1959-11-23,82,77,77,3
Don Costa And His Orchestra And Chorus,I'll Walk The Line,1959-11-23,83,98,83,2
Sonny Spencer,Gilee,1959-11-23,84,93,84,2
Skip And Flip,Fancy Nancy,1959-11-23,85,71,71,4
Johnny Preston,Running Bear,1959-11-23,86,-,71,6
Jackie Wilson,Talk That Talk,1959-11-23,87,0,0,0
Duane Eddy His Twangy Guitar And The Rebels,"First Love, First Tears",1959-11-23,88,60,59,9
Larry Hall,Sandy,1959-11-23,89,0,0,0
Santo & Johnny,Sleep Walk,1959-11-23,90,57,1,18
Gary Stites,Starry Eyed,1959-11-23,91,79,77,4
Sarah Vaughan,Broken-Hearted Melody,1959-11-23,92,76,7,19
Johnny Mathis,The Story Of Our Love,1959-11-23,93,-,93,2
Jacky Noguez And His Orchestra,Marina,1959-11-23,94,95,94,2
Frankie Avalon,Why,1959-11-23,95,0,0,0
Jane Morgan,Happy Anniversary,1959-11-23,96,83,83,3
The Passions,Just To Be With You,1959-11-23,97,89,84,7
Jerry Fuller,Tennessee Waltz,1959-11-23,98,63,63,6
Clyde Stacy,So Young,1959-11-23,99,100,99,2
Titus Turner,We Told You Not To Marry,1959-11-23,100,0,0,0
Bobby Darin,Mack The Knife,1959-11-30,1,1,1,15
Della Reese,Don't You Know,1959-11-30,2,3,2,11
The Fleetwoods,Mr. Blue,1959-11-30,3,2,1,13
Guy Mitchell,Heartaches By The Number,1959-11-30,4,4,4,9
Ernie Fields & Orch.,In The Mood,1959-11-30,5,8,5,11
Brook Benton,So Many Ways,1959-11-30,6,6,6,7
Paul Anka,Put Your Head On My Shoulder,1959-11-30,7,5,2,14
Bobby Rydell,We Got Love,1959-11-30,8,10,8,8
Fats Domino,Be My Guest,1959-11-30,9,14,9,6
Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat,1959-11-30,10,12,9,12
Wink Martindale,Deck Of Cards,1959-11-30,11,7,7,12
Johnny Mathis,Misty,1959-11-30,12,15,12,9
Neil Sedaka,Oh! Carol,1959-11-30,13,19,13,8
Conway Twitty,Danny Boy,1959-11-30,14,18,11,10
The Drifters,Dance With Me,1959-11-30,15,20,15,8
Andy Williams,Lonely Street,1959-11-30,16,11,5,13
Jerry Wallace With The Jewels,Primrose Lane,1959-11-30,17,9,8,16
Miss Toni Fisher,The Big Hurt,1959-11-30,18,36,18,3
Sammy Turner,Always,1959-11-30,19,24,19,5
Dinah Washington,Unforgettable,1959-11-30,20,21,17,9
The Browns,Scarlet Ribbons (For Her Hair),1959-11-30,21,33,21,5
The Islanders,The Enchanted Sea,1959-11-30,22,17,15,10
Rock-A-Teens,Woo-Hoo,1959-11-30,23,16,16,9
Fireflies,You Were Mine,1959-11-30,24,22,21,13
The Nutty Squirrels,Uh! Oh! Part 2,1959-11-30,25,50,25,4
Sandy Nelson,Teen Beat,1959-11-30,26,13,4,13
Marty Robbins,El Paso,1959-11-30,27,51,27,4
Johnny And The Hurricanes,Reveille Rock,1959-11-30,28,25,25,5
Royal Teens,Believe Me,1959-11-30,29,26,26,6
Lloyd Price and His Orchestra,Come Into My Heart,1959-11-30,30,35,30,6
The Clovers,Love Potion No. 9,1959-11-30,31,27,23,12
Fabian,Hound Dog Man,1959-11-30,32,42,32,3
The Drifters,"(If You Cry) True Love, True Love",1959-11-30,33,34,33,5
Marv Johnson,You Got What It Takes,1959-11-30,34,32,32,5
The Revels,Midnight Stroll,1959-11-30,35,38,35,7
Rocco Granata and the International Quintet,Marina,1959-11-30,36,39,36,4
The Mormon Tabernacle Choir,Battle Hymn Of The Republic,1959-11-30,37,23,13,13
Frank Sinatra,Talk To Me,1959-11-30,38,40,38,7
Bob Beckham,Just As Much As Ever,1959-11-30,39,41,32,16
Paul Anka,It's Time To Cry,1959-11-30,40,74,40,2
Fabian,This Friendly World,1959-11-30,41,61,41,2
Kitty Kallen,If I Give My Heart To You,1959-11-30,42,37,34,9
The Exotic Sounds of Martin Denny,The Enchanted Sea,1959-11-30,43,28,28,6
Tommy Facenda,High School U.S.A.,1959-11-30,44,29,28,7
Fats Domino,I've Been Around,1959-11-30,45,44,33,6
Connie Francis,God Bless America,1959-11-30,46,58,46,3
Bill Haley And His Comets,Joey's Song,1959-11-30,47,48,46,9
Annette With The Afterbeats,First Name Initial,1959-11-30,48,75,48,6
Ray Charles and his Orchestra,I'm Movin' On,1959-11-30,49,55,49,4
Ricky Nelson,I Wanna Be Loved,1959-11-30,50,0,0,0
Cliff Richard and The Drifters,Living Doll,1959-11-30,51,30,30,10
Lloyd Price and His Orchestra,Wont'cha Come Home,1959-11-30,52,54,43,4
Frankie Avalon,Why,1959-11-30,53,95,53,2
Steve Lawrence,Pretty Blue Eyes,1959-11-30,54,80,54,2
Fireballs,Torquay,1959-11-30,55,47,39,10
Connie Francis,Among My Souvenirs,1959-11-30,56,76,56,2
Sarah Vaughan,Smooth Operator,1959-11-30,57,62,57,5
The Spacemen,The Clouds,1959-11-30,58,53,41,7
Johnny Preston,Running Bear,1959-11-30,59,86,59,7
Freddie Cannon,Way Down Yonder In New Orleans,1959-11-30,60,72,60,2
Bo Diddley,Say Man,1959-11-30,61,46,20,11
Johnny Mathis,The Best Of Everything,1959-11-30,62,66,62,3
LaVern Baker,Tiny Tim,1959-11-30,63,73,63,5
Larry Hall,Sandy,1959-11-30,64,89,64,2
Frankie Avalon,Just Ask Your Heart,1959-11-30,65,31,7,14
Tommy Edwards,Honestly And Truly,1959-11-30,66,65,65,5
Tommy Edwards,(New In) The Ways Of Love,1959-11-30,67,70,67,3
Ivo Robic and The Song-Masters,Morgen,1959-11-30,68,63,13,16
Bobby Rydell,I Dig Girls,1959-11-30,69,56,46,6
The Coasters,Poison Ivy,1959-11-30,70,43,7,15
Carl Mann,Pretend,1959-11-30,71,57,57,6
Don Costa And His Orchestra And Chorus,I'll Walk The Line,1959-11-30,72,83,72,3
Ray Peterson,Goodnight My Love (Pleasant Dreams),1959-11-30,73,78,73,3
Rod Bernard,One More Chance,1959-11-30,74,79,74,4
Gene & Eunice,Poco-Loco,1959-11-30,75,49,48,13
Santo & Johnny,Tear Drop,1959-11-30,76,0,0,0
Paul Gayten,The Hunch,1959-11-30,77,68,68,6
Bobby Peterson Quintet,The Hunch,1959-11-30,78,71,71,6
Bobby Comstock,Tennessee Waltz,1959-11-30,79,52,52,6
The Everly Brothers,('til) I Kissed You,1959-11-30,80,45,4,16
Willy Alberti,Marina,1959-11-30,81,0,0,0
Sonny Spencer,Gilee,1959-11-30,82,84,82,3
Jackie Wilson,Talk That Talk,1959-11-30,83,87,83,2
Sam Cooke,"There, I've Said It Again",1959-11-30,84,81,81,4
Gary Stites,Starry Eyed,1959-11-30,85,91,77,5
Ricky Nelson,Mighty Good,1959-11-30,86,0,0,0
Jacky Noguez And His Orchestra,Marina,1959-11-30,87,94,87,3
The Passions,Just To Be With You,1959-11-30,88,97,84,8
Jane Morgan,Happy Anniversary,1959-11-30,89,96,83,4
Sammy Turner,Symphony,1959-11-30,90,0,0,0
Skip And Flip,Fancy Nancy,1959-11-30,91,85,71,5
Dee Clark,Hey Little Girl,1959-11-30,92,67,20,15
Titus Turner,We Told You Not To Marry,1959-11-30,93,100,93,2
Ronnie Hawkins and The Hawks,Mary Lou,1959-11-30,94,69,26,16
5 Satins,Shadows,1959-11-30,95,0,0,0
Pat Boone,Beyond The Sunset,1959-11-30,96,0,0,0
The Crests,The Angels Listened In,1959-11-30,97,77,22,16
Bill Black's Combo,Smokie - Part 2,1959-11-30,98,0,0,0
April Stevens,Teach Me Tiger,1959-11-30,99,0,0,0
The Four Lads,Happy Anniversary,1959-11-30,100,82,77,4
Bobby Darin,Mack The Knife,1959-12-07,1,1,1,16
Guy Mitchell,Heartaches By The Number,1959-12-07,2,4,2,10
The Fleetwoods,Mr. Blue,1959-12-07,3,3,1,14
Della Reese,Don't You Know,1959-12-07,4,2,2,12
Ernie Fields & Orch.,In The Mood,1959-12-07,5,5,5,12
Bobby Rydell,We Got Love,1959-12-07,6,8,6,9
Brook Benton,So Many Ways,1959-12-07,7,6,6,8
Fats Domino,Be My Guest,1959-12-07,8,9,8,7
Neil Sedaka,Oh! Carol,1959-12-07,9,13,9,9
Conway Twitty,Danny Boy,1959-12-07,10,14,10,11
Paul Anka,Put Your Head On My Shoulder,1959-12-07,11,7,2,15
Wink Martindale,Deck Of Cards,1959-12-07,12,11,7,13
Johnny Mathis,Misty,1959-12-07,13,12,12,10
Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat,1959-12-07,14,10,9,13
Marty Robbins,El Paso,1959-12-07,15,27,15,5
The Browns,Scarlet Ribbons (For Her Hair),1959-12-07,16,21,16,6
Miss Toni Fisher,The Big Hurt,1959-12-07,17,18,17,4
Paul Anka,It's Time To Cry,1959-12-07,18,40,18,3
The Nutty Squirrels,Uh! Oh! Part 2,1959-12-07,19,25,19,5
Lloyd Price and His Orchestra,Come Into My Heart,1959-12-07,20,30,20,7
Fabian,Hound Dog Man,1959-12-07,21,32,21,4
Sammy Turner,Always,1959-12-07,22,19,19,6
The Drifters,Dance With Me,1959-12-07,23,15,15,9
Frankie Avalon,Why,1959-12-07,24,53,24,3
Fabian,This Friendly World,1959-12-07,25,41,25,3
Andy Williams,Lonely Street,1959-12-07,26,16,5,14
Rock-A-Teens,Woo-Hoo,1959-12-07,27,23,16,10
Johnny And The Hurricanes,Reveille Rock,1959-12-07,28,28,25,6
Jerry Wallace With The Jewels,Primrose Lane,1959-12-07,29,17,8,17
Dinah Washington,Unforgettable,1959-12-07,30,20,17,10
Freddie Cannon,Way Down Yonder In New Orleans,1959-12-07,31,60,31,3
Rocco Granata and the International Quintet,Marina,1959-12-07,32,36,32,5
Bob Beckham,Just As Much As Ever,1959-12-07,33,39,32,17
The Drifters,"(If You Cry) True Love, True Love",1959-12-07,34,33,33,6
The Islanders,The Enchanted Sea,1959-12-07,35,22,15,11
Royal Teens,Believe Me,1959-12-07,36,29,26,7
Larry Hall,Sandy,1959-12-07,37,64,37,3
Connie Francis,Among My Souvenirs,1959-12-07,38,56,38,3
Marv Johnson,You Got What It Takes,1959-12-07,39,34,32,6
Ricky Nelson,I Wanna Be Loved,1959-12-07,40,50,40,2
Sandy Nelson,Teen Beat,1959-12-07,41,26,4,14
Annette With The Afterbeats,First Name Initial,1959-12-07,42,48,42,7
Frank Sinatra,Talk To Me,1959-12-07,43,38,38,8
Steve Lawrence,Pretty Blue Eyes,1959-12-07,44,54,44,3
Ray Charles and his Orchestra,I'm Movin' On,1959-12-07,45,49,45,5
The Revels,Midnight Stroll,1959-12-07,46,35,35,8
The Clovers,Love Potion No. 9,1959-12-07,47,31,23,13
Fireflies,You Were Mine,1959-12-07,48,24,21,14
Bill Haley And His Comets,Joey's Song,1959-12-07,49,47,46,10
Sarah Vaughan,Smooth Operator,1959-12-07,50,57,50,6
Johnny Preston,Running Bear,1959-12-07,51,59,51,8
Santo & Johnny,Tear Drop,1959-12-07,52,76,52,2
Kitty Kallen,If I Give My Heart To You,1959-12-07,53,42,34,10
Tommy Facenda,High School U.S.A.,1959-12-07,54,44,28,8
The Mormon Tabernacle Choir,Battle Hymn Of The Republic,1959-12-07,55,37,13,14
Lloyd Price and His Orchestra,Wont'cha Come Home,1959-12-07,56,52,43,5
Cliff Richard and The Drifters,Living Doll,1959-12-07,57,51,30,11
Fats Domino,I've Been Around,1959-12-07,58,45,33,7
Connie Francis,God Bless America,1959-12-07,59,46,46,4
Willy Alberti,Marina,1959-12-07,60,81,60,2
Ricky Nelson,Mighty Good,1959-12-07,61,86,61,2
The Spacemen,The Clouds,1959-12-07,62,58,41,8
Johnny Mathis,The Best Of Everything,1959-12-07,63,62,62,4
The Exotic Sounds of Martin Denny,The Enchanted Sea,1959-12-07,64,43,28,7
Bill Black's Combo,Smokie - Part 2,1959-12-07,65,98,65,2
Tommy Edwards,(New In) The Ways Of Love,1959-12-07,66,67,66,4
Don Costa And His Orchestra And Chorus,I'll Walk The Line,1959-12-07,67,72,67,4
Tommy Edwards,Honestly And Truly,1959-12-07,68,66,65,6
Ray Peterson,Goodnight My Love (Pleasant Dreams),1959-12-07,69,73,69,4
Fireballs,Torquay,1959-12-07,70,55,39,11
The Crests,A Year Ago Tonight,1959-12-07,71,0,0,0
Jackie Wilson,Talk That Talk,1959-12-07,72,83,72,3
The Passions,Just To Be With You,1959-12-07,73,88,73,9
The Coasters,Poison Ivy,1959-12-07,74,70,7,16
LaVern Baker,Tiny Tim,1959-12-07,75,63,63,6
Bo Diddley,Say Man,1959-12-07,76,61,20,12
The Coasters,What About Us,1959-12-07,77,0,0,0
Frankie Avalon,Just Ask Your Heart,1959-12-07,78,65,7,15
Gary Stites,Starry Eyed,1959-12-07,79,85,77,6
Paul Gayten,The Hunch,1959-12-07,80,77,68,7
