TEAM,RANK,RANKORD,WIN,LOST
ATL,6,6th,44,38
BKN,4,4th,49,33
BOS,7,7th,41,40
CHA,14,14th,21,61
CHI,5,5th,45,37
CLE,13,13th,24,58
DAL,10,10th,41,41
DEN,3,3rd,57,25
DET,11,11th,29,53
GS,6,6th,47,35
HOU,7,7th,45,37
IND,3,3rd,49,32
LAC,4,4th,56,26
LAL,7,7th,45,37
MEM,4,4th,56,26
MIA,1,1st,66,16
MIL,8,8th,38,44
MIN,12,12th,31,51
NO,14,14th,27,55
NY,2,2nd,54,28
OKC,1,1st,60,22
ORL,15,15th,20,62
PHI,9,9th,34,48
PHO,15,15th,25,57
POR,11,11th,33,49
SA,2,2nd,58,24
SAC,13,13th,28,54
TOR,9,9th,34,48
UTA,9,9th,43,39
WAS,11,11th,29,53
