,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
0,Noise Disturbance,The Village West Building 1,9/30/2015,1509300005,9/30/2015,1:15 AM,,Unable To Locate
1,Information,North Mesa Apartments,9/30/2015,1509300009,9/30/2015,2:08 AM,"Vehicle alarm went off, when reporting party checked, handprints found on driver and passenger side windows",Information Only
2,Suspicious Person,Middle East Hall,9/30/2015,1509300012,9/30/2015,3:14 AM,,Gone On Arrival
3,Lost Property,Lot 001 ‐ Caroline's,9/30/2015,1509300013,9/30/2015,3:31 AM,Lost duffel bag,Information Only
4,Attempt To Contact,ERC Admin,9/30/2015,1509300028,9/30/2015,8:15 AM,,Unable To Locate
5,Vandalism,Visual Arts Building,9/30/2015,2015‐1316,Unknown‐9/30/2015,Unknown,"Graffiti, damage $400.00",Report Taken
6,Non Injury Collision,Thornton Hospital,9/30/2015,2015‐1317,9/30/2015,9:47 AM,vehicle backed up into UC cart,Report Taken
7,Traffic Control,Genesee Ave/North Torrey Pines Rd,9/30/2015,1509300039,9/30/2015,10:14 AM,Vehicle stalled at intersection,Service Provided
8,Bicyclist Stop,Lot 701,9/30/2015,1509300043,9/30/2015,12:56 PM,,Verbal Warning Issued
9,Medical Aid,Gilman Dr/Villa La Jolla Dr,9/30/2015,1509300046,9/30/2015,1:50 PM,"Per Fire Department, student suffering from heat exhaustion",Referred To Other Agency
10,Collision With Injury,Preuss School,9/30/2015,2015‐1318,9/30/2015,2:02 PM,Vehicle vs. Pedestrian,Pedestrian Transported To Hospital
11,Citizen Contact,Urey Hall,9/30/2015,1509300050,9/30/2015,4:37 PM,"Report of local transient that went into residents apartment while resident was away, nothing taken",Information Only
12,Non Injury Accident,Voigt Dr/Hopkins Dr,9/30/2015,1509300051,9/30/2015,4:43 PM,Involved parties exchanged information,Information Only
13,Hit & Run,1 Miramar Parking Structure,9/30/2015,1509300054,9/28/2015,Unknown,,Information Only
14,Suspicious Person,Health Sciences Biomedical Research,9/30/2015,1509300056,9/30/2015,7:47 PM,,Unable To Locate
15,Disturbance ‐ Party,Pharmaceutical Sciences,9/30/2015,1509300059,9/30/2015,9:09 PM,,Checks OK
16,Noise Disturbance,Muir Apartments ‐ John's Place,9/30/2015,1509300064,9/30/2015,11:14 PM,Group in front yelling,Quiet On Arrival
17,Quiet Hours Contact,The Village West Building 1,9/30/2015,SC #01356‐2015,9/22/2015,11:26 PM,"Resident Advisor's contacted suite after heard loud noise, residents were found to be smoking Hookah and in possession of alcohol",Student Conduct Referral
19,Alcohol Contact,Sixth College ‐ Building 709,9/30/2015,SC #01379‐2015,9/26/2015,1:40 AM,Resident Advisors observed male subject swaying back and forth as he was walking,Student Conduct Referral
20,Marijuana Contact,Goldberg Hall,9/30/2015,SC #01398‐2015,9/22/2015,6:00 PM,Resident Advisors smelled odor of marijuana coming from suite,Student Conduct Referral
21,Resident Contact,Argo Hall,9/28/2015,SC #01396‐2015,9/23/2015,10:30 AM,"Director of Residence Life upon following up on report of a smoke detector being removed, observed empty alcohol bottles in suite and other bottles with alcohol still inside them, the odor of cigarette smoke and noticed the smoke detector had been covered with a towel",Student Conduct Referral
22,Security Alarm,Rebecca & John Moores Cancer Center,9/1/2015,1509010005,9/1/2015,5:35 AM,,False Alarm
23,Suspicious Person,Center For Molecular Medicine,9/1/2015,1509010008,9/1/2015,6:42 AM,,Unable To Locate
24,Bicyclist Stop,Lot 705,9/1/2015,1509010024,9/1/2015,8:34 AM,,Verbal Warning Issued
25,Bicyclist Stop,Myers Dr,9/1/2015,1509010030,9/1/2015,9:01 AM,,Written Warning Issued
26,Suspicious Vehicle,Naga Wy/La Jolla Shores Dr,9/1/2015,1509010032,9/1/2015,9:20 AM,,Information Only
27,Suspicious Person,BSB,9/1/2015,1509010034,9/1/2015,9:32 AM,,Unable To Locate
28,Suspicious Package,Lot 751,9/1/2015,1509010036,9/1/2015,10:22 AM,,Checks OK
29,Battery,VA Hospital,9/1/2015,2015‐1178,9/1/2015,12:11 PM,Passenger assaulted bus driver with out provocation,
30,Citizen Contact,UCSD Police Department,9/1/2015,1509010048,9/1/2015,12:24 PM,Dean Advisor requesting to speak with an officer,Information Only
31,Skateboard Stop,UCSD Police Department,9/1/2015,1509010055,9/1/2015,1:51 PM,,Verbal Warning Issued
32,Security Alarm,Faculty Club,9/1/2015,1509010065,9/1/2015,7:41 PM,,False Alarm
33,Citizen Contact,Lot 651,9/1/2015,1509010071,9/1/2015,11:46 PM,,Checks OK
34,Suspicious Vehicle,Gilman Dr/Gilman Ct,9/24/2015,1509240001,9/24/2015,12:07 AM,,Information Only
35,Quiet Hours Contact,Brennan Hall,9/24/2015,1509240002,9/24/2015,12:17 AM,,Will Cooperate
36,Quiet Hours Contact,Frankfurter Hall,9/24/2015,1509240004,9/24/2015,12:55 AM,,Will Cooperate
37,Assist Other Agency,"CVS, La Jolla, CA",9/24/2015,1509240008,9/24/2015,2:49 AM,San Diego Police out with psych subject,Field Interview
38,Suspicious Vehicle,La Jolla Village Dr/Torrey Pines Rd,9/24/2015,1509240010,9/24/2015,3:30 AM,,Checks OK
39,Bicyclist Stop,Lot 704,9/24/2015,1509240028,9/24/2015,8:15 AM,,Verbal Warning Issued
40,Security Alarm,Sanford Consortium,9/24/2015,1509240031,9/24/2015,8:49 AM,,False Alarm
41,Information,Oceania Hall,9/24/2015,1509240036,9/24/2015,9:39 AM,"Fire alarm, food cooking too long in pan",Referred To Other Department
42,Skateboard Stop,Career Planning & Placement,9/24/2015,1509240039,9/24/2015,11:05 AM,,Verbal Warning Issued
43,Animal Call,Pacific Hall,9/24/2015,1509240040,9/24/2015,11:18 AM,"Dog with no leash, no owner in area",Gone On Arrival
44,Information,Library Walk,9/24/2015,1509240043,9/24/2015,11:44 AM,Complaint of bikes parked by handrails and blocking stairwell,Checks OK
45,Bicyclist Stop,Library Walk,9/24/2015,1509240049,9/24/2015,12:42 PM,,Verbal Warning Issued
46,Medical Aid,Library Walk,9/24/2015,1509240050,9/24/2015,12:44 PM,Young adult female complaining that she is going into shock,Cancelled
47,Bicyclist Stop,Center Hall,9/24/2015,1509240051,9/24/2015,12:46 PM,,Verbal Warning Issued
48,Information,Scholars Dr South/Revelle College Dr,9/24/2015,1509240058,9/24/2015,10:45 AM,"Motorist struck skateboarder, when asked if they were okay, skateboarder didn't answer motorist",Information Only
49,Lost Property,UCSD Police Department,9/24/2015,1509240060,9/24/2015,2:11 PM,Lost passport,Information Only
50,Hit & Run,Lot 017,9/24/2015,1509240061,9/24/2015,11:00 AM‐2:00 PM,,Information Only
51,Medical Aid,UNEX Z,9/24/2015,1509240062,9/24/2015,2:53 PM,Juvenile female fainted,Service Provided
52,Fire Alarm,Warren Lecture Hall,9/24/2015,1509240063,9/24/2015,2:58 PM,,False Alarm
53,Welfare Check,Pacific Hall,9/24/2015,1509240064,9/24/2015,3:24 PM,Skateboarder possibly injured,Field Interview
54,Hit & Run,Hopkins Parking Structure,9/24/2015,1509240068,9/23/2015,Unknown,,Service Provided
55,Injury,Library Walk,9/24/2015,1509240069,9/24/2015,5:17 PM,Young adult male fell off scooter and possibly sprained ankle,Service Provided
56,Petty Theft ‐ Bicycle,UCSD Campus,9/23/2015,2015‐1299,9/21/2015‐9/23/2015,2:30 PM‐11:00 AM,Loss $300.00,Online Report
57,Petty Theft ‐ Bicycle,Discovery Hall,9/24/2015,2015‐1300,9/21/2015‐9/24/2015,Unknown,Loss $600.00,Online Report
58,Information,1 Miramar Parking Structure,9/11/2015,1509110001,9/11/2015,12:06 AM,Report of possible hit & run,Information Only
59,Security Alarm,Engineering Building Unit,9/11/2015,1509110005,9/11/2015,6:27 AM,,False Alarm
60,Excessive Alcohol,Voigt Dr/Lot 702,9/11/2015,2015‐1209,9/11/2015,8:56 AM,"Report of someone lying down at bus stop, covered up in white blanket",Transported To Hospital
61,Fire Alarm,Brown Hall,9/11/2015,1509110022,9/11/2015,9:14 AM,,False Alarm
62,Injury,Log 306,9/11/2015,1509110026,9/11/2015,9:55 AM,"Adult male hurt back, while weight lifting",Transported To Hospital
63,Security Alarm,Old Southwest Fisheries,9/11/2015,1509110027,9/11/2015,10:31 AM,,False Alarm
64,Citizen Flagdown,IGPP,9/11/2015,1509110030,9/11/2015,11:02 AM,Regarding unoccupied camp,Service Provided
65,Medical Aid,Revelle College Dr/Lot 102,9/11/2015,1509110035,9/11/2015,2:27 PM,"Adult male with nausea, requesting evaluation by paramedics",Transported To Hospital
66,Grand Theft/Fraud,1 Miramar,9/11/2015,2015‐1213,9/11/2015,10:30 AM,"Victim's unattended backpack stolen from parking lot, credit cards found to be used at several different locations, loss $1,787.00",Report Taken
67,Collision,Ralph's Parking Lot,9/11/2015,1509110037,9/11/2015,3:03 PM,UC vehicle vs. Other vehicle,Report Taken
68,Traffic Hazard,Expedition WY,9/11/2015,1509110041,9/11/2015,4:35 PM,"Vehicle with hazard lights flashing, blocking traffic",Gone On Arrival
69,Medical Aid,Rebecca & John Moores Cancer Center,9/11/2015,1509110042,9/11/2015,4:44 PM,Female patient experiencing chest and abdominal pains,Information Only
70,Information,La Jolla Dr/La Jolla Village Dr,9/11/2015,1509110045,9/11/2015,5:15 PM,MTS bus broken down,Information Only
71,Marijuana Contact,Marshall Apartments East,9/29/2015,1509290001,9/29/2015,12:13 AM,,Unable To Locate
72,Quiet Hours Contact,Tioga Hall,9/29/2015,1509290002,9/29/2015,12:21 AM,,Information Only
73,Suspicious Person,Hubbs Hall,9/29/2015,1509290007,9/29/2015,3:03 AM,,Checks OK
74,Suspicious Vehicle,Lot 701,9/29/2015,1509290008,9/29/2015,4:06 AM,,Checks OK
75,Security Alarm,Torrey Pines Center South,9/29/2015,1509290009,9/29/2015,4:32 AM,,False Alarm
76,Suspicious Vehicle,Engineering Building Unit 2,9/29/2015,1509290011,9/29/2015,5:52 AM,,Checks OK
77,Non Injury Collision,Gilman Parking Structure,9/29/2015,2015‐1307,9/29/2015,7:50 AM,UC vehicle vs. Private vehicle,Report Taken
78,Citizen Contact,Cognitive Sciences Building,9/29/2015,1509290028,9/29/2015,9:29 AM,Smoking,Verbal Warning Issued
79,Medical Aid,Price Center ‐ Jamba Juice,9/29/2015,1509290032,9/29/2015,12:43 PM,Adult female passed out,Unable To Locate
80,Traffic Stop,Torrey Pines Rd/Allen Field,9/29/2015,2015‐1308,9/29/2015,1:08 PM,,Closed By Adult Arrest
81,Citizen Contact,La Jolla Village Dr,9/29/2015,2015‐1309,9/29/2015,1:43 PM,Subject contacted for panhandling,
82,Medical Aid,Peterson Hall,9/29/2015,1509290040,9/29/2015,3:19 PM,Adult male feeling dizzy and nauseous,Medical Transportation Declined
83,Disturbance ‐ Argument,Expedition Wy/North Torrey Pines Rd,9/29/2015,1509290042,9/29/2015,3:47 PM,2 males and 1 female arguing,Field Interview
84,Unknown Injury Accident,Eucalyptus Grove Ln/Gilman Dr,9/29/2015,1509290043,9/29/2015,4:16 PM,Solo bicycle accident,Medical Aid Refused
85,Hit & Run,Hopkins Parking Structure,9/29/2015,2015‐1310,9/29/2015,7:45 AM‐4:30 PM,,Report Taken
86,Ticket Sign Off,UCSD Police Department,9/29/2015,1509290045,9/29/2015,5:00 PM,,Information Only
87,Medical Aid,Price Center ‐ D'Lush,9/29/2015,1509290046,9/29/2015,5:29 PM,Adult female seizing,Referred To Other Department
88,Injury,Library Walk (Near Student Health),9/29/2015,2015‐1311,9/29/2015,6:55 PM,"Adult female fell off skateboard, causing multiple injuries",Transported To Hospital
