,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
0,Report of Undefined Theft,North America Hall,9/17/2013,2013-1440,9/17/2013,1:30 AM - 2:00 AM,Loss:  $4011.00,Report Taken
1,Bicyclist Stop,Dance Studio,9/17/2013,130917005,9/17/2013,6:29 AM,,Verbal Warning Issued
2,Unknown Trouble,1 Miramar Building 1,9/17/2013,130917020,9/17/2013,8:41 AM,Male yelling at female,Unable to Locate
3,Citizen Contact,Torrey Pines Center South,9/17/2013,130917031,9/17/2013,11:02 AM,,Information Only
4,Citizen Contact,Torrey Pines Center South,9/17/2013,2013-1445,9/17/2013,11:03 AM,UCSD employee harassing staff,Report Taken
5,Citizen Flagdown,Village East 1,9/17/2013,130917046,9/17/2013,2:32 PM,Subject causing disturbance,Field Interview
6,Non Injury Accident,Campus Point Drive/Voigt Drive,9/17/2013,130917047,9/17/2013,4:12 PM,,Information Only
7,Fire Alarm,Keeling Apartments,9/17/2013,130917050,9/17/2013,5:51 PM,,False Alarm
8,Fire Alarm,Marine Ecosystem Sensing,9/17/2013,130917051,9/17/2013,6:03 PM,,False Alarm
9,Security Alarm,Urey Hall,9/17/2013,130917052,9/17/2013,8:17 PM,,False Alarm
10,Quiet Hours Contact,Tamarack Apartments,9/17/2013,130917058,9/17/2013,10:02 PM,,Information Only
11,Quiet Hours Contact,The Village Building 1,9/17/2013,130917062,9/17/2013,11:12 PM,,Will Cooperate
12,Found Property,Tioga Hall,9/17/2013,130917063,9/17/2013,11:35 PM,,Information Only
13,Theft of Bicycle,Student Services Center,9/16/2013,2013-1444,9/16/2013,8:15 AM - 5:15 PM,Loss:  $500.00,Online Report
14,Bicyclist Stop,Voigt Dr/Lot 701,9/7/2013,130907001,9/7/2013,12:01 AM,,Verbal Warnings Issued
15,Fire Alarm,Preuss School,9/7/2013,130907007,9/7/2013,1:55 AM,,False Alarm
16,Disturbance,Village East 4,9/7/2013,120907010,9/7/2013,3:59 AM,Loud Party,Will Cooperate
17,Security Alarm,Triton Center,9/7/2013,120907014,9/7/2013,9:01 AM,,False alarm
18,Injury,Price Center,9/7/2013,2013-1403,9/7/2013,9:25 AM,Adult male injured ankle after falling off skateboard,Transported To Hospital
19,Information,SIO Pier,9/7/2013,130907018,9/7/2013,8:00 PM,"group of student aged subjects jumping off pier into water, residents in area believes they may return tonight",Checks Ok
20,Fire Alarm,Price Center,9/7/2013,130907019,9/7/2013,10:16 AM,,False Alarm
21,Welfare Check,Sixth College Apartments,9/7/2013,130907021,9/7/2013,11:09 AM,Parent unable to get a hold of son for several days,Checks OK
