,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
0,Suspicious Person,Scholars Dr North,9/22/2012,120922001,9/22/2012,12:02 AM,Non affiliate watching television in residential commuter lounge,Stay Away Order Issued
1,Alcohol Contact,Bates Hall,9/22/2012,120922002,9/22/2012,12:08 AM,,Information Only
2,Assist Other Agency,Village East 2,9/22/2012,120922003,9/22/2012,12:15 AM,Resident Advisor making alcohol contact,Information Only
3,Drunk In Public,Lot 401,9/22/2012,2012‐1052,9/22/2012,12:30 AM,,Transported To Detox
4,Alcohol Contact,Sixth College Apartments,9/22/2012,120922005,9/22/2012,12:46 AM,,Information Only
5,Gas/Water/Sewer Leak,Pacific Hall,9/22/2012,120922015,9/22/2012,2:35 AM,Water detection,Information Only
6,Citizen Flagdown,Voigt Dr/Justice Ln,9/22/2012,120922017,9/22/2012,4:54 AM,Directions,Information Only
7,Suspicious Vehicle,UCTR 302,9/22/2012,120922018,9/22/2012,5:11 AM,,Checks OK
8,Suspicious Person,Thurgood Marshal Activity Center,9/22/2012,2012‐1053,9/22/2012,5:27 AM,Subject seen removing wheels from a bicycle secured to a bike rack,"Closed By Citation, Adult"
9,Vandalism,Lot 740/Foodworx,9/22/2012,2012‐1054,9/22/2012,9:00 AM,"Vandalism to vehicle, damage: $300.00",Report Taken
10,Bicyclist Stop,Voigt Dr/Lot 701,9/22/2012,120922031,9/22/2012,10:23 AM,,Verbal Warning Issued
11,Burglary Alarm,Del Sol Leasing Office,9/22/2012,120922035,9/22/2012,10:51 AM,,False Alarm
12,Non Injury Accident,Downwind at Birch,9/22/2012,120922038,9/22/2012,11:18 AM,Vehicle stuck on the curb,Removed By Tow Truck
13,Injury,Library Walk,9/22/2012,120922040,9/22/2012,1:29 PM,"young male tripped on walkway, possible broken leg",Transported To Hospital
14,Traffic Hazard,North Point Dr/Scholars Dr North,9/22/2012,120922041,9/22/2012,1:34 PM,Three subjects standing in median passing out flyers,Information Only
15,Incomplete Wireless 911 Call,McGill Hall,9/22/2012,120922042,9/22/2012,2:00 PM,,Checks OK
16,Incomplete Wireless 911 Call,Tenaya Hall,9/22/2012,120922043,9/22/2012,2:13 PM,,Checks OK
17,Traffic Hazard,Scholars Dr South/Muir Ln,9/22/2012,120922044,9/22/2012,2:40 PM,"One‐way traffic sign indicator removed, causing traffic jam",Checks Ok
18,Skateboard Stop,Mandeville Center,9/22/2012,120922046,9/22/2012,2:53 PM,Group of trick skaters,Checks OK
19,Information,Lot 703,9/22/2012,120922050,9/22/2012,6:14 PM,Party bus just left lot,Information Only
20,Unknown Injury Accident,North Torrey Pines RD/Salk Institute Rd,9/22/2012,120922051,9/22/2012,6:18 PM,Vehicle vs. Bicyclist,Referred To Other Agency‐San Diego Police
21,Assist Other Agency,Gilman Dr,9/22/2012,120922052,9/22/2012,6:22 PM,San Diego Police requesting assistance with report of possible bomb threat,Unable To Locate
22,Injury,The Village West Bldg 2,9/22/2012,120922053,9/22/2012,6:44 PM,"Adult female tripped and fell, possible broken ankle",Information Only
23,Injury,Sixth College Apartments,9/22/2012,120922067,9/22/2012,9:48 PM,"Young female has cut to finger, won't stop bleeding",Transported To Hospital
24,Assist Other Agency,The Village Bldg 1,9/22/2012,120922072,9/22/2012,10:02 PM,Residential Security Officer making alcohol contact,Information Only
25,Noise Disturbance,Central Mesa Apartments,9/22/2012,120922073,9/22/2012,10:04 PM,,Will Cooperate
26,Citizen Contact,Warren Student Activity Center,9/22/2012,120922075,9/22/2012,10:12 PM,Suspicious person,Information Only
27,Citizen Contact,Marshall Apartments West,9/22/2012,120922081,9/22/2012,10:38 PM,Marijuana contact,Field Interview
28,Drunk In Public,Great Hall,9/22/2012,120922088,9/22/2012,10:54 PM,,Checks OK
29,Skateboard Stop,Voigt Dip,9/22/2012,120922091,9/22/2012,11:03 PM,,Field Interview
30,Noise Disturbance,Central Mesa Apartments,9/22/2012,120922094,9/22/2012,11:11 PM,Loud party,Will Cooperate
31,Traffic Control,The Village Bldg 1,9/22/2012,120922095,9/22/2012,11:13 PM,Assisting tow truck,Information Only
32,Alcohol Contact,The Village West Bldg 1,9/22/2012,120922096,9/22/2012,11:15 PM,,Information Only
33,Alcohol Contact,Village East 5,9/22/2012,120922097,9/22/2012,11:16 PM,,Information Only
34,Disturbance,The Village Bldg 1,9/22/2012,120922107,9/22/2012,11:54 PM,Possible fight on upper floor,Closed By Adult Arrest
35,Disturbance,Central Mesa Apartments,9/22/2012,120922108,9/22/2012,11:59 PM,Loud party,Will Cooperate
36,Information,Lot 705,9/7/2012,120907001,9/7/2012,1:08 AM,Unoccupied go cart,Checks OK
37,Assist Other Agency,Blacks Beach,9/7/2012,120907009,9/7/2012,8:30 AM,San Diego Fire & Lifeguard need gate opened for emergency response for subject who fell offthe cliff,Information Only
38,Citizen Flagdown,North Torrey Pines Rd,9/7/2012,120907015,9/7/2012,10:23 AM,,Information Only
39,Non Injury Accident,Music Building‐Loading Dock,9/7/2012,2012‐1017,9/7/2012,11:20 AM,"Collision, UC vehicle vs. private vehicle",Report Taken
40,Demonstration,Torrey Pines Center South,9/7/2012,120907020,9/7/2012,12:47 PM,,Information Only
41,Citizen Flagdown,Engineer Ln,9/7/2012,120907025,9/7/2012,2:42 PM,"Officer initiated contact, suspicious person",Field Interview
