,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
0,Security Alarm,USE Credit Union,1/28/2018,1801280001,1/28/2018,12:04 AM,,False Alarm
1,Welfare Check,Lot 406,1/28/2018,1801280004,1/28/2018,12:11 AM,Intoxicated female vomiting in parking lot,Checks OK
2,Welfare Check,Lot 406,1/28/2018,1801280006,1/28/2018,12:25 AM,Male transient near construction site,Checks OK
3,Disturbance ‐ Party,Matthews Apartments,1/28/2018,1801280009,1/28/2018,12:53 AM,,Referred To Student Conduct
4,Public Intoxication,Lot 104,1/28/2018,2018‐0136,1/28/2018,12:55 AM,RSO requested officer evaluation of intoxicated female,Transported To Detox
5,Alcohol Contact,Lot 103,1/28/2018,1801280012,1/28/2018,1:26 AM,,Referred To Student Conduct
6,Quiet Hours Contact,The Village West Building 2,1/28/2018,1801280013,1/28/2018,1:30 AM,,Will Cooperate
7,Quiet Hours Contact,Earth Hall North,1/28/2018,1801280015,1/28/2018,1:32 AM,,Will Cooperate
8,Alcohol Contact,Lot 103,1/28/2018,1801280016,1/28/2018,1:34 AM,,Referred To Student Conduct
9,Quiet Hours Contact,Earth Hall North,1/28/2018,1801280017,1/28/2018,1:35 AM,,Referred To Student Conduct
10,Alcohol Contact,Lot 402,1/28/2018,1801280018,1/28/2018,2:16 AM,,Referred To Student Conduct
11,Alcohol Contact,The Village West Building 1,1/28/2018,1801280019,1/28/2018,2:51 AM,,Referred To Student Conduct
12,Quiet Hours Contact,The Village West Building 1,1/28/2018,1801280020,1/28/2018,3:18 AM,,Will Cooperate
13,Petty Theft,Thornton Hospital ‐ ER,1/28/2018,2018‐0137,1/27/2018‐1/28/2018,11:30 AM‐12:45 AM,"Victim accidentally left wallet in waiting room, later found in bathroom trashcan with credit cards and cash missing, loss $45.00",Report Taken
14,Citizen Flagdown,Lot 701,1/28/2018,1801280023,1/28/2018,8:58 AM,Questions regarding parking,Service Provided
15,Security Alarm,Bookstore,1/28/2018,1801280024,1/28/2018,11:05 AM,,False Alarm
16,Animal Call,Lot 207,1/28/2018,1801280025,1/28/2018,11:10 AM,"Dog in back seat of vehicle, window slightly cracked",Unfounded
17,Bicyclist Stop,Lot 418,1/28/2018,1801280030,1/28/2018,3:21 PM,,Verbal Warning Issued
18,Illegal Parking,Lot 306,1/28/2018,1801280033,1/28/2018,5:17 PM,,Citation Issued
19,Security Alarm,Pepper Canyon Hall,1/28/2018,1801280044,1/28/2018,8:54 PM,,False Alarm
20,Marijuana Contact,Matthews Apartments,1/28/2018,1801280047,1/28/2018,9:25 PM,,Referred To Student Conduct
21,Suspicious Vehicle,1 Miramar Parking Structure,1/28/2018,1801280052,1/28/2018,10:32 PM,,Information Only
22,Medical Aid,Kathmandu,1/28/2018,1801280055,1/28/2018,11:30 PM,Young adult female seizing,Transported To Hospital
23,Petty Theft,Northpoint Dr & North Torrey Pines Rd,1/28/2018,2018‐0139,1/28/2018,12:20 PM‐12:40 PM,"Stolen penny board and bag of supplies, loss $70.00",Online Report
24,Petty Theft ‐ Bicycle,Matthews Apartments,1/28/2018,2018‐0144,1/27/2018‐1/28/2018,7:00 PM‐4:00 PM,Loss $350.00,Online Report ‐ Unfounded
25,Alcohol Contact,Tioga Hall,1/25/2018,1801250001,1/25/2018,12:00 AM,,Referred To Student Conduct
26,Excessive Alcohol & Injury,The Village West Building 2,1/25/2018,2018‐0114,1/25/2018,12:28 AM,"Intoxicated female tripped and fell, striking her head on concrete sidewalk or lamp post, causing a head laceration",Transported To Hospital
27,Security Alarm,Leichtag Biomedical Building,1/25/2018,1801250004,1/25/2018,1:02 AM,,False Alarm
28,Bicyclist Stop,Voigt Dr/Engineer Ln,1/25/2018,1801250005,1/25/2018,1:07 AM,,Verbal Warning Issued
29,Medical Aid,Radiation Oncology Center,1/25/2018,1801250015,1/25/2018,6:53 AM,"Older adult male inside vehicle in parking lot, in and out of consciousness",Service Provided
30,Suspicious Person,Engineering Building,1/25/2018,1801250017,1/25/2018,7:04 AM,,Information Only
31,Security Alarm,Pepper Canyon Hall,1/25/2018,1801250018,1/25/2018,7:32 AM,,False Alarm
32,Suspicious Person,La Jolla Village Dr/Villa La Jolla Dr,1/25/2018,1801250019,1/25/2018,7:48 AM,,Unable To Locate
33,Suspicious Person,Gilman Dr/Myers Dr,1/25/2018,1801250024,1/25/2018,9:53 AM,,Unable To Locate
34,Bicyclist Stop,Lot 207,1/25/2018,1801250025,1/25/2018,9:58 AM,,Verbal Warning Issued
35,Shoplifting,Sunshine Store,1/25/2018,2018‐0115,1/25/2018,10:29 AM‐12:40 PM,,Closed By Adult Arrest
36,Bicyclist Stop,Russell Ln/Rupertus Wy,1/25/2018,1801250030,1/25/2018,10:30 AM,,Verbal Warning Issued
37,Fire Alarm,The Village West Building 1,1/25/2018,1801250031,1/25/2018,10:39 AM,,False Alarm
38,Found Property,Engineering Building,1/25/2018,1801250032,1/25/2018,10:51 AM,Report of unattended black bag in planter,Unable To Locate
39,Suspicious Vehicle,Baseball Field,1/25/2018,1801250037,1/25/2018,11:44 AM,,Gone On Arrival
40,Illegal Parking,Science & Engineering Research Facility,1/25/2018,1801250038,1/25/2018,11:48 AM,,Field Interview
41,Counter Collision Report,One Miramar Apartments,1/25/2018,2018‐0116,12/13/2017,Unknown,UC shuttle bus vs. Fence,Report Taken
