,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
0,Citizen Contact,Lot 104,9/29/2016,1609290001,9/29/2016,12:12 AM,Smoking contact,Unable To Locate
1,Marijuana Contact,Marshall Apartments West,9/29/2016,1609290002,9/29/2016,12:22 AM,,Referred To Student Conduct
2,Injury,Stewart Hall,9/29/2016,1609290003,9/29/2016,12:26 AM,Young adult male injured leg during basketball game,Transported To Hospital
3,Citizen Flagdown,The Village East Building 1,9/29/2016,1609290008,9/29/2016,3:23 AM,Lock out assistance,Service Provided
4,Injury,Warren College,9/29/2016,2016‐1273,9/29/2016,5:33 AM,"RSO observed adult male having trouble walking, subject was bleeding from side of head and had scratches on elbow, stated he fell at unknown location",Transported To Hospital
5,Security Alarm,UNEX K,9/29/2016,1609290015,9/29/2016,7:05 AM,,False Alarm
6,Bicyclist Stop,Lot 416,9/29/2016,1609290019,9/29/2016,7:21 AM,,Written Warning Issued
7,Fire Alarm,RIMAC,9/29/2016,1609290022,9/29/2016,7:34 AM,,Cancelled
8,Suspicious Package,The Village East Building 1,9/29/2016,1609290024,9/29/2016,7:43 AM,,Service Provided
9,Bicyclist Stop,Lot 207,9/29/2016,1609290028,9/29/2016,7:52 AM,,Verbal Warning Issued
10,Non Injury Collision,Lot 108,9/29/2016,2016‐1275,9/29/2016,8:30 AM,UC vehicle side swiped a parked UC vehicle,Report Taken
11,Non Injury Collision,Lot 418,9/29/2016,1609290045,9/29/2016,11:34 AM,Involved parties exchanged information,Checks OK
12,Chemical Spill,IGPP,9/29/2016,1609290051,9/29/2016,12:55 PM,Benzozine spilled and creating bad odor,Referred To Other UCSD Department
13,Lost Property,UCTR 711,9/29/2016,1609290056,9/29/2016,3:21 PM,Found bicycle,Bicycle Impounded
14,Drunk Driving,North Torrey Pines Rd/La Jolla Shores Dr,9/29/2016,1609290057,9/29/2016,4:00 PM,Report of possible drunk driver,Referred To Other Agency
15,Illegal Camping,York Hall,9/29/2016,1609290058,9/29/2016,4:04 PM,,Referred To Other UCSD Department
16,Bicyclist Stop,Voigt Dr/Gilman Dr,9/29/2016,1609290060,9/29/2016,5:12 PM,,Verbal Warning Issued
17,Injury,Stewart Hall,9/29/2016,2016‐1276,9/29/20169,5:22 PM,Adult male fell and hit head during basketball game,Transported To Hospital
18,Citizen Flagdown,Price Center,9/29/2016,1609290063,9/29/2016,5:45 PM,Transient male talking to himself,Checks OK
19,Bicyclist Stop,Voigt Dr/Gilman Dr,9/29/2016,1609290065,9/29/2016,6:08 PM,,Verbal Warning Issued
20,Bicyclist Stop,Voigt Dr/Baseball Field,9/29/2016,1609290066,9/29/2016,6:42 PM,,Verbal Warning Issued
21,Citizen Contact,UCSD Police Department,9/29/2016,1609290068,9/29/2016,6:56 PM,Reporting party stated female is requesting payment after she photographed RP on line without his knowledge,Service Provided
22,Lost Property,UCSD Police Department,9/29/2016,1609290069,9/29/2016,6:59 PM,Report of lost wallet,Information Only
23,Grand Theft,Roger's Place,9/29/2016,2016‐1277,9/29/2016,6:30 PM‐7:00 PM,"Unknown suspect(s) stole cell phone and two laptops from table top, loss $2,800.00",Report Taken
24,Lost Property,64 Degrees,9/29/2016,1609290071,9/29/2016,8:01 PM,Requesting CSO assistance with locating keys lost in tall grass,Unable To Locate
25,Security Alarm,RIMAC,9/29/2016,1609290072,9/29/2016,8:11 PM,,False Alarm
26,Citizen Contact,Rita Atkinson Residences,9/29/2016,1609290073,9/29/2016,8:16 PM,Request to speak with officer regarding housing maintenance entering apartment to clear drain without tenants permission,Referred To Other UCSD Department
27,Alcohol Contact,Marshall Apartments West,9/29/2016,1609290075,9/29/2016,9:19 PM,,Referred To Student Conduct
28,Injury,Canyonview Pool,9/29/2016,2016‐1278,9/29/2016,9:26 PM,Female fell from rock climbing wall,Transported To Hospital
