,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
0,Citizen Contact,Student Services Center,9/2/2017,1709020001,9/2/2017,12:02 AM,Custodian having difficulty with alarm,Service Provided
1,Citizen Contact,North Mesa Apartments,9/2/2017,1709020003,9/2/2017,12:19 AM,Advising resident has front door ajar,Information Only
2,Missing Person,UCSD Police Department,9/2/2017,2017-1348,9/2/2017,1:01 AM - 2:35 AM,Friend has not heard from subject for few days,Report Taken
3,Medical Aid,Lot 702,9/2/2017,1709020010,9/2/2017,4:01 AM,Subject having difficulty breathing,Transported to Hospital
4,Illegal Parking,Lot 202,9/2/2017,1709020011,9/2/2017,4:33 AM,,Citation Issued
5,Information,La Jolla Country Day,9/2/2017,1709020015,9/2/2017,8:42 AM,Subject can't walk and having difficulty breathing,Information Only
6,Attempt to Contact,Palmilla Drive,9/2/2017,1709020018,9/2/2017,11:07 AM,"Related to 2017-1348 case, requesting officer to check inside apartment for missing person",Service Provided
7,Information,North Torrey Pines Road,9/2/2017,1709020024,9/2/2017,2:25 PM,Subject throwing items at reporting party's vehicle,Unable to Locate
8,Disturbance,Mobil Station,9/2/2017,1709020025,9/2/2017,2:53 PM,Subject attempting to beat traffic to make it to median of intersection,Field Interview
9,Suspicious Circumstances,Voigt Drive/Justice Lane,9/2/2017,1709020035,9/2/2017,6:22 PM,Alarms going off at the same time,Referred to Other Department
10,Noise Disturbance,Kathmandu,9/2/2017,1709020036,9/2/2017,6:31 PM,Loud drumming and talking for past 20 minutes,Quiet On Arrival
11,Fire Alarm,Faculty Club,9/2/2017,1709020037,9/2/2017,6:46 PM,,False Alarm
12,Call for Help,UCSD Police Department,9/2/2017,1709020044,9/2/2017,9:24 PM,"Caller said she was unable to speak freely, called back later saying she was okay",Information Only
13,Petty Theft,The Village West Building 6,9/2/2017,2017-1349,8/27/2017 - 9/3/2017,Unknown,"T-shirt taken, loss $101.50",Report Taken
14,Alcohol Contact,Asante Hall,9/2/2017,1709020049,9/2/2017,10:15 PM,,Student Conduct Referral
15,Information,Holiday Court,9/2/2017,1709020052,9/2/2017,11:04 PM,Subject called claiming he is suicidal,Referred to Other Agency
16,Citizen Flagdown,Voigt Drive/Lot 702,9/2/2017,1709020055,9/2/2017,11:12 PM,Subject requesting ride to Scripps to be admitted to hospital,Service Provided
17,Suspicious Person,The Village West Building 1,9/2/2017,1709020058,9/2/2017,11:38 PM,Subjects casing bicycles at location,Field Interview
18,Citizen Contact,Central Mesa Apartments,9/17/2017,1709170002,9/17/2017,12:29 AM,Subject has been working on his vehicle for over an hour,Checks OK
19,Nonstudent Refuse to Leave School,Tioga Hall,9/17/2017,2017-1414,9/17/2017,2:49 AM,"Original call for suspicious person, violated a seven-day stay away order",Closed by Adult Arrest
20,Suspicious Person,Stein Clinical Research Building,9/17/2017,1709170012,9/17/2017,9:56 AM,"Disposing of property, mostly rubbish",Checks OK
21,Information,Medical Teaching Facility,9/17/2017,1709170013,9/17/2017,10:19 AM,Tree branch fallen onto sidewalk,Referred to Other Department
22,Citizen Contact,Voigt Dip,9/17/2017,1709170016,9/17/2017,11:07 AM,Fire department performing drills and location,Service Provided
23,Suspicious Person,La Jolla Village Drive/Villa La Jolla Drive,9/17/2017,1709170021,9/17/2017,2:53 PM,Panhandling at intersection,Unable to Locate
24,Citizen Contact,Fireside Lounge,9/17/2017,1709170037,9/17/2017,9:44 PM,Subject fell asleep in lounge area,Field Interview
25,Suspicious Package,Gilman Drive,9/17/2017,1709170046,9/17/2017,11:03 PM,Backpacks left at location,Field Interview
26,Animal Call,Central Mesa Apartments,9/17/2017,1709170048,9/17/2017,11:22 PM,Coyote seen,Checks OK
27,Suspicious Vehicle,Regents Road,9/17/2017,1709170049,9/17/2017,11:33 PM,Driver sitting in vehicle,Field Interview
28,Bicycle Theft,Mesa Nueva Building A,9/17/2017,2017-1424,8/30/2017 - 9/17/2017,10:00 PM - 9:00 AM,Loss $800,Online Report
29,Suspicious Vehicle,Lot 208,9/22/2017,1709220005,9/22/2017,1:41 AM,Unoccupied vehicle with trunk open,Checks OK
30,Security Alarm,Isaacs Hall,9/22/2017,1709220011,9/22/2017,7:17 AM,,False Alarm
31,Citizen Flagdown,Lot 207,9/22/2017,1709220017,9/22/2017,9:51 AM,Visitors with parking questions,Information Only
32,Suspicious Person,La Jolla Village Square,9/22/2017,170922022,9/22/2017,11:54 AM,Subject with a black eye,Unable to Locate
33,Fire Alarm,Social Sciences Research Building,9/22/2017,1709220024,9/22/2017,12:38 PM,,Cancelled
34,Citizen Flagdown,Lot 702,9/22/2017,1709220026,9/22/2017,12:52 PM,Assisting information exchange between city bus and personal vehicle,Service Provided
35,Fire,Urey Hall,9/22/2017,170922033,9/22/2017,2:42 PM,Smells like something is burning,Unfounded
36,Welfare Check,Gilman Drive/Myers Drive,9/22/2017,1709220034,9/22/2017,2:57 PM,Male at location appears to be disoriented and wearing a hospital gown,Checks OK
37,Citizen Contact,Lot 602,9/22/2017,1709220036,9/22/2017,4:06 PM,Subject calling regarding keys,Information Only
38,Alcohol Contact,Village Place and Market,9/22/2017,1709220046,9/22/2017,9:12 AM,,Student Conduct Referral
39,Hazard Situation,Villa La Jolla Drive/La Jolla Village Drive,9/22/2017,170922052,9/22/2017,9:49 PM,Unoccupied vehicle with hazard lights on,Cancelled
40,Suspicious Person,North Mesa Apartments,9/22/2017,1709220055,9/22/2017,10:16 PM,"Subjects seen in apartment, reporting person knows this area to be unoccupied",Checks OK
